time_s,frame_id,view,mode,status,rpm_inner,seg_omega,corona,voltage_v,current_a,power_w,field_sim_t,energy_density_j_m3,drive,excitation_pct,temperature_c,efficiency_pct,particle_flux,load_ohm
0.100000,1,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.200000,2,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.300000,3,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.400000,4,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.500000,5,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.600000,6,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.700000,7,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.800000,8,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
0.900000,9,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.000000,10,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.100000,11,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.200000,12,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.299999,13,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.399999,14,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.499999,15,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.599999,16,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.699999,17,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.799999,18,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.899999,19,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
1.999999,20,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.099999,21,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.199999,22,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.299999,23,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.399998,24,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.499998,25,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.599998,26,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.699998,27,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.799998,28,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.899998,29,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
2.999998,30,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.099998,31,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.199998,32,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.299998,33,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.399997,34,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.499997,35,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.599997,36,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.699997,37,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.799997,38,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.899997,39,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
3.999997,40,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.099998,41,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.199999,42,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.300001,43,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.400002,44,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.500003,45,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.600005,46,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.700006,47,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.800007,48,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
4.900009,49,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.000010,50,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.100011,51,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.200013,52,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.300014,53,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.400015,54,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.500017,55,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.600018,56,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.700019,57,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
5.800021,58,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
